raw_reason,canonical_reason,definition_used,problem_object,process_signal,actor_context,manuscript_categories,classification_strength,main_figure_recommended,caution,semantic_rationale
Concerns/Issues about Animal Welfare,Concerns/Issues about Animal Welfare,"Any question, controversy or dispute about any non-human test or study subject(s).",ethics_welfare,research_ethics_approval_process,unclear,research_content_reliability;attribution_authorship_disclosure_integrity,broad,True,None,"Animal welfare concerns directly implicate research ethics and can affect the reliability of study results, as well as reflect on author compliance with ethical standards."
Concerns/Issues about Article,Concerns/Issues about Article,"Any question, controversy or dispute about published content, or undefined sections of it.",article_general,notice_opacity,unclear,,ambiguous,False,The definition is too vague to assign specific manuscript-facing categories; it merely indicates an unspecified concern without detailing the nature of the issue.,"The definition describes a general, undefined concern about published content, lacking specificity to map to any of the four manuscript categories."
Concerns/Issues about Authorship/Affiliation,Concerns/Issues About Authorship /Affiliation,"Any question, controversy or dispute about authorship and/or affiliation, except for false/forged authorship or false/forged affiliation. False/forged authorship or false/forged affiliation are covered under their own reasons.",authorship_affiliation,authorship_publication_process,author,attribution_authorship_disclosure_integrity,strict,True,,"The definition explicitly covers disputes about authorship/affiliation, directly aligning with the attribution_authorship_disclosure_integrity category. The problem object is authorship_affiliation, process signal is authorship_publication_process, and actor context is author, as these are inherent to authorship concerns."
Concerns/Issues about Data,Concerns/Issues About Data,"Any question, controversy or dispute about any of the data.",data,journal_publisher_investigation,unclear,research_content_reliability,broad,True,"The reason is broad and does not specify the nature of the concern, so it could overlap with other categories if the data issue stems from authorship or editorial problems, but the definition alone supports research content reliability.","The definition covers any question, controversy, or dispute about data, which directly relates to the reliability of research content."
Concerns/Issues about Human Subject Welfare,Concerns/Issues about Human Subject Welfare,"Any question, controversy or dispute about any human test or study subject(s).",ethics_welfare,research_ethics_approval_process,unclear,research_content_reliability;attribution_authorship_disclosure_integrity,broad,True,None,"The definition covers any question about human subjects, which directly implicates research ethics and welfare. This can affect the reliability of research content if ethical violations undermine data validity, and it relates to authorship/disclosure integrity if ethical approvals or consent were misrepresented. The process signal is research_ethics_approval_process, as concerns often involve review board approvals. Actor context is unclear because the definition does not specify who raised the concern."
Concerns/Issues about Image,Concerns/Issues About Image,"Any question, controversy or dispute about one or more images, or part(s) of one or more images.",image,,unclear,research_content_reliability,broad,True,"The definition is broad and does not specify the nature of the concern, so process_signal and actor_context are left as default/unclear. Only research_content_reliability is assigned because image concerns directly relate to the reliability of presented data.","The definition describes a dispute about images, which directly pertains to the reliability of research content (data). No specific process or actor is indicated."
Concerns/Issues about Methods,Concerns/Issues about Methods,Local CSV term not present in extracted Appendix B definitions; treated as concerns/issues about methods by semantic analogy.,methods_materials,journal_publisher_investigation,unclear,research_content_reliability,broad,True,Definition is not from official Appendix B; assigned by semantic analogy. Actor context is unclear as the reason does not specify who raised concerns.,"Concerns about methods directly relate to the reliability of research content, as methods underpin the validity of results and conclusions."
Concerns/Issues about Peer Review,Concerns/Issues with Peer Review,"The peer review was not performed solely through journal error, or there are problems with the peer review that are not covered under “Fake Peer Review”.",article_general,peer_review_concern,unclear,editorial_peer_review_governance,broad,True,None,"The definition describes problems with peer review not solely due to journal error, directly implicating editorial and peer review governance."
Concerns/Issues about Referencing/Attributions,Concerns/Issues about Referencing/Attributions,"Any question, controversy or dispute about references, citations, attributions, etc. This could include fabricated/falsified references, reference stacking, citing other work with an EOC or correction, etc.",references_attribution,content_reuse_or_duplication_process,author,attribution_authorship_disclosure_integrity,broad,True,None,"The definition explicitly targets references, citations, and attributions, which directly maps to the attribution/authorship/disclosure integrity category. The process signal of content reuse or duplication is implied by reference stacking or citing corrected works, but the primary concern is attribution integrity."
Concerns/Issues about Results and/or Conclusions,Concerns/Issues about Results and/or Conclusions,"Any question, controversy or dispute about the results and/or conclusions.",results_conclusions,notice_opacity,unclear,research_content_reliability,broad,True,"The reason is broad and does not specify the nature of the concern, so it may overlap with other categories if additional context is available.","The definition directly addresses questions about results/conclusions, which falls under research content reliability. No specific process or actor is indicated, so process_signal is notice_opacity and actor_context is unclear."
Concerns/Issues about Third Party Involvement,Concerns/Issues about Third Party Involvement,"Any question, controversy or dispute about third party involvement.",article_general,third_party_investigation,third_party,post_publication_transparency_due_process_oversight,broad,False,"The definition is extremely broad and does not specify the nature of the involvement, making it a status/notice signal about third-party involvement rather than a direct indicator of manuscript content or process flaws. It is best treated as a post-publication transparency marker.","The definition 'Any question, controversy or dispute about third party involvement' directly signals a third-party investigation context, which aligns with post-publication oversight. It does not inherently indicate issues with research content, authorship, or editorial processes, so only the transparency category is assigned."
Conflict of Interest,Conflict of Interest,"Any question, controversy or dispute about author(s), editor(s), any third party and/or peer reviewer(s) having affiliations with companies, associations or institutions that may serve to influence how they conduct their role in any part of the research and/or publication process(es).",article_general,editorial_breach,author,attribution_authorship_disclosure_integrity;editorial_peer_review_governance,broad,True,"Conflict of Interest is a broad signal that can affect multiple stages of the research and publication process. It primarily indicates a failure in disclosure or governance, but may also indirectly impact research content reliability if the conflict influenced study design or interpretation. The assignment to manuscript categories is based on the definition's emphasis on roles in the research/publication process, not on proven bias.","The definition centers on questions about affiliations that may influence conduct in the research or publication process. This directly implicates attribution/authorship/disclosure integrity (failure to disclose conflicts) and editorial/peer review governance (compromised impartiality of editors or reviewers). It does not inherently assert that the research content itself is unreliable, but the potential influence on any part of the process justifies broad inclusion under these two categories."
Contamination of Cell Lines/Tissues,Contamination of Cell Lines/Tissues,Impurities were found or suspected within cell lines or tissues.,methods_materials,journal_publisher_investigation,unclear,research_content_reliability,strict,True,,"Contamination directly compromises the reliability of research materials, fitting research_content_reliability. The definition describes impurities in cell lines/tissues, which are core methodological components, so problem_object is methods_materials. The process_signal is journal_publisher_investigation as a default for such findings, though the definition does not specify the investigation source; actor_context is unclear. No other categories are supported."
Contamination of Materials,Contamination of Materials,"Impurities were found or suspected within compounds, reagents or solutions used in experiments.",methods_materials,journal_publisher_investigation,author,research_content_reliability,strict,True,None,"Contamination of materials directly compromises the reliability of experimental results, fitting research_content_reliability. The definition focuses on impurities in experimental materials, which is a methods/materials problem. Investigation is implied but not specified, so journal/publisher investigation is a reasonable default process signal. Actor context is author as the source of the materials."
Copyright Claims,Copyright Claims,"Dispute concerning permissions or ownership of materials (equipment, cell lines, etc.), technologies, images, text, patents, etc.",text_article;image;data;methods_materials,legal_process,third_party;author;journal_publisher,attribution_authorship_disclosure_integrity;post_publication_transparency_due_process_oversight,broad,True,"Copyright claims can involve ownership disputes over materials, images, or text, which may affect attribution integrity and trigger legal processes. However, the reason itself does not confirm research content unreliability or editorial misconduct; it primarily signals a legal dispute over permissions.","The definition describes disputes over permissions or ownership of materials, images, text, etc., which directly relates to attribution and authorship integrity (e.g., unauthorized use of copyrighted material) and may involve post-publication legal oversight. It does not inherently indicate research content errors or editorial/peer review failures."
Criminal Proceedings,Criminal Proceedings,"Criminal legal proceedings were instigated in response to the publication and/or notice(s), or criminal legal proceedings resulted in the correction/EOC/retraction/etc.",article_general,legal_process,ori_government,post_publication_transparency_due_process_oversight,broad,False,Criminal proceedings are a legal process external to the manuscript content; they may relate to research misconduct but the definition does not specify the underlying issue. Assigned to post-publication oversight as it involves legal response to publication.,"The definition describes criminal legal proceedings instigated in response to publication or resulting in a correction/retraction. This is a legal process (process_signal: legal_process) involving government action (actor_context: ori_government). The problem object is the article in general (article_general) as the proceedings are about the publication. It fits post_publication_transparency_due_process_oversight because it concerns legal oversight after publication, but it is broad as the underlying manuscript issue is not specified."
Date of Article and/or Notice Unknown,Date of Article and/or Notice Unknown,"The article and/or notice do not have clear publication dates. RW may also use this reason when a publisher overwrites the original article’s HTML page with the notice, without changing the publication date to reflect the change.",availability_notice_status,notice_opacity,journal_publisher,post_publication_transparency_due_process_oversight,broad,False,"This reason describes a metadata transparency issue (missing or unclear dates) and does not directly indicate problems with research content, authorship, or editorial processes. It is a status/notice signal, not a substantive integrity concern.","The definition describes a lack of clear publication dates for the article or notice, which is a transparency issue in post-publication metadata. This fits post_publication_transparency_due_process_oversight broadly, as it concerns the availability and clarity of publication status information. It does not directly implicate research content, authorship, or editorial governance."
Doing the Right Thing,Doing the Right Thing,An attribution made by co-founders of Retraction Watch indicating admirable behavior by one of the involved parties,,,,,ambiguous,False,"The definition describes a subjective editorial attribution of admirable behavior, not a specific manuscript integrity issue, process, or actor context. It does not map to any of the four manuscript-facing categories.","The reason is a meta-commentary on behavior, lacking concrete problem, process, or actor signals required for manuscript category assignment."
Duplication of Content through Error by Journal/Publisher,Duplication of Content through Error by Journal/Publisher,Duplication of published content due to an error by the journal or publisher.,article_general,journal_publisher_error;content_reuse_or_duplication_process,journal_publisher,editorial_peer_review_governance;post_publication_transparency_due_process_oversight,broad,True,None,"The definition describes duplication of published content caused by a journal/publisher error, which directly implicates editorial and production governance (editorial_peer_review_governance) and post-publication correction/transparency processes (post_publication_transparency_due_process_oversight). The problem object is the article as a whole, and the process signals are journal error and duplication handling."
Duplication of Data,Duplication of Data,Duplication of any of the data.,data,content_reuse_or_duplication_process,unclear,research_content_reliability,strict,True,,"Duplication of data directly concerns the reliability of research content, as it involves the integrity of the data presented."
Duplication of Text,Duplication of Text,Duplication of any of the text.,text_article,content_reuse_or_duplication_process,unclear,research_content_reliability;attribution_authorship_disclosure_integrity,broad,True,"Duplication of text can overlap with plagiarism, but the definition is neutral and does not specify intent or source. It may affect reliability if it misrepresents novelty, and attribution if it involves uncredited reuse. However, without additional context, the exact nature remains ambiguous.","Text duplication directly concerns the article's textual content (problem_object: text_article) and involves a content reuse process (process_signal: content_reuse_or_duplication_process). It can undermine research content reliability if the duplication misleads about the originality of findings, and it may breach attribution/authorship integrity if it involves uncredited copying. The actor is unclear from the definition alone."
Duplication of/in Article,Duplication of/in Article,"Duplication of a published item, or undefined sections of it.",article_general,content_reuse_or_duplication_process,unclear,research_content_reliability;attribution_authorship_disclosure_integrity,broad,True,"Duplication may overlap with plagiarism or self-plagiarism, but the definition is broad and does not specify intent or source. Actor context is unclear as the definition does not indicate who identified or investigated the duplication.","Duplication of a published item or sections of it directly impacts the reliability of research content (research_content_reliability) and raises concerns about proper attribution and disclosure (attribution_authorship_disclosure_integrity). The problem object is the article as a whole, and the process signal is content reuse or duplication. No specific actor is mentioned in the definition."
Duplication of/in Image,Duplication of/in Image,"Duplication of one or more images, or part(s) of one or more images.",image,content_reuse_or_duplication_process,unclear,research_content_reliability,strict,True,,"Image duplication directly concerns the reliability of research content, as it involves potential data integrity issues within images."
EOC Lifted,EOC Lifted,Expression of Concern has been removed or is no longer applicable. Not to be confused with an “Upgraded to Retraction”,availability_notice_status,notice_opacity,journal_publisher,post_publication_transparency_due_process_oversight,broad,False,"This is a status-only notice about the removal of an Expression of Concern, not about the underlying content. It does not directly indicate a problem with research content, authorship, or editorial processes, but relates to post-publication transparency.","The definition describes a change in the status of a notice (Expression of Concern lifted), which falls under post-publication transparency and due process oversight. It does not inherently signal issues with research content, authorship, or editorial governance, but rather a metadata update about a previous notice."
Error by Journal/Publisher,Error by Journal/Publisher,An error attributed to a journal/publisher.,article_general,journal_publisher_error,journal_publisher,editorial_peer_review_governance;post_publication_transparency_due_process_oversight,broad,True,"The definition is broad; the error could range from production mistakes to editorial process failures. Without specifics, it is not possible to determine if research content itself is affected, so research_content_reliability is not assigned. Attribution/authorship integrity is not directly indicated.","The definition attributes an error to the journal/publisher, which directly implicates editorial and production governance (editorial_peer_review_governance) and may involve post-publication transparency if the error leads to corrections or notices (post_publication_transparency_due_process_oversight). The problem object is the article in general, as the error is not specified to data, images, etc. The process signal is journal_publisher_error, and the actor context is journal_publisher."
Error by Third Party,Error by Third Party,An error attributed to any third party.,article_general,third_party_investigation,third_party,,ambiguous,False,"The definition is too generic to determine which manuscript category applies. It only indicates an error by a third party without specifying the nature of the error or its impact on the manuscript's content, attribution, editorial process, or post-publication status.","The definition 'An error attributed to any third party' does not provide enough detail to map to any specific manuscript-facing category. It could involve research content, authorship, editorial processes, or post-publication matters, but the definition alone does not specify. Therefore, no manuscript category is assigned."
Error in Analyses,Error in Analyses,One or more errors in the evaluation of any of the data or in any calculation(s).,data;results_conclusions,journal_publisher_error,author,research_content_reliability,strict,True,,"The definition describes errors in data evaluation or calculations, directly undermining the reliability of research content."
Error in Cell Lines/Tissues,Error in Cell Lines/Tissues,One or more errors in the choice or identification of any of the cell lines or tissues.,methods_materials,journal_publisher_error,author,research_content_reliability,strict,True,,"Errors in cell lines/tissues directly affect the reliability of research materials and methods, fitting research_content_reliability. The definition describes a material error, not a process or transparency issue, so other categories are not supported."
Error in Data,Error in Data,One or more errors in any of the data.,data,journal_publisher_error,author,research_content_reliability,strict,True,,"The definition explicitly states errors in data, directly impacting research content reliability. The problem object is data, and the process signal is journal/publisher error as the error is in the published data. Actor context is author as the source of the data error."
Error in Image,Error in Image,"One or more errors in one or more images, or part(s) of one or more images.",image,journal_publisher_error,unclear,research_content_reliability,strict,True,,"The definition describes errors in images, which directly concerns the reliability of research content (data/image). The error is a journal/publisher-level issue, but actor context is unclear as the definition does not specify who identified or caused the error."
Error in Materials,Error in Materials,"One or more errors in one or more experimental materials. including reagents, mixing bowls, equipment or instrumentation.",methods_materials,journal_publisher_error,author,research_content_reliability,strict,True,,"The definition describes errors in experimental materials (reagents, equipment), which directly affect the reliability of research content. This maps to research_content_reliability. The error is in methods/materials, and the process signal is journal_publisher_error as it is an error in the published record. Actor context is author because materials are typically prepared by authors."
Error in Methods,Error in Methods,One or more errors in the choice of and/or implementation of experimental protocol(s).,methods_materials,journal_publisher_error,author,research_content_reliability,strict,True,,"The definition describes errors in experimental protocol choice or implementation, directly affecting the reliability of research content."
Error in Results and/or Conclusions,Error in Results and/or Conclusions,One or more errors in any of the results and/or the conclusions.,results_conclusions,journal_publisher_error,author,research_content_reliability,strict,True,None,"The definition explicitly states errors in results or conclusions, directly indicating unreliable research content."
Error in Text,Error in Text,One or more errors in any of the text.,text_article,journal_publisher_error,unclear,research_content_reliability,broad,True,"Error in text can range from minor typos to substantive misstatements; without further context, it broadly affects research content reliability but may not always be central.","The definition describes errors in text, which directly impact the accuracy and reliability of the research content as presented in the manuscript."
Ethical Violations by Author,Ethical Violations by Author,"When a journal/publisher/institution states that one or more authors have not met the journal/publisher/institution’s standards of publishing and/or research ethics. RW will use this reason when no other information about the correction/EOC/retraction is available (i.e., the notice only states that there was an ethical violation), or when the ethical violation (as an additional reason) cannot be addressed by existing reasons.",article_general,journal_publisher_investigation;institutional_investigation;publication_policy_or_sanction,author;journal_publisher;company_institution,attribution_authorship_disclosure_integrity;editorial_peer_review_governance,broad,True,"The definition is broad and often used as a catch-all when specifics are unavailable. Without further details, the exact nature of the ethical violation is ambiguous, but it inherently involves author conduct and journal/institutional standards.","The reason indicates a breach of publishing/research ethics by authors, as determined by a journal, publisher, or institution. This directly implicates author integrity (attribution_authorship_disclosure_integrity) and the governance of ethical standards (editorial_peer_review_governance). The problem object is set to article_general due to lack of specificity. Process signals reflect investigation and policy enforcement by the journal/publisher/institution."
Ethical Violations by Company/Institution/Third Party,Ethical Violations by Company/Institution/Third Party,"When a journal/publisher/institution states that one or more company(ies)/institution(s)/thirdparty(ies) have not met the journal/publisher/institution’s standards of publishing and/or research ethics. RW will use this reason when no other information about the correction/EOC/retraction is available (i.e., the notice only states that there was an ethical violation), or when the ethical violation (as an additional reason) cannot be addressed by existing reasons.",article_general,journal_publisher_investigation;institutional_investigation;third_party_investigation;notice_opacity,company_institution;third_party;journal_publisher,editorial_peer_review_governance;post_publication_transparency_due_process_oversight,broad,False,"The definition is a catch-all for ethical violations by non-author entities when details are unavailable. It signals an investigation by journal/publisher/institution into a company/institution/third party, but the specific ethical breach is unspecified. This makes it a broad governance and transparency signal rather than a direct indicator of research content reliability or authorship integrity. Main figure not recommended due to opacity and lack of specific content-related problem.","The reason indicates a journal/publisher/institution finding that a company/institution/third party violated publishing/research ethics standards. It is used when no further details are available, making it a notice of an ethical breach by a non-author entity. This maps to editorial_peer_review_governance (publisher enforcement of standards) and post_publication_transparency_due_process_oversight (opaque notice of an investigation). The problem object is article_general because the specific issue is unknown. Process signals include journal_publisher_investigation, institutional_investigation, third_party_investigation, and notice_opacity. Actor context includes company_institution, third_party, and journal_publisher as the investigating body."
Euphemisms for Duplication,Euphemisms for Duplication,"The notice does not clearly state that the authors reused ideas, text, or images from one of their previously published items without suitable citation",text_article;image;data;results_conclusions,content_reuse_or_duplication_process;notice_opacity,author,research_content_reliability;attribution_authorship_disclosure_integrity,broad,True,"The definition focuses on opaque notice language about reuse without citation, which directly implicates content reliability and attribution integrity. However, the term 'euphemisms' suggests the notice may obscure the nature of duplication, so the exact problem object (text, image, data) may vary. Actor context is author because reuse is by authors. Process signal includes content reuse and notice opacity. No editorial or third-party investigation is implied by the definition alone.","The definition describes reuse of ideas, text, or images without proper citation, which undermines research content reliability and attribution integrity. The notice's lack of clarity adds a notice opacity signal."
Euphemisms for Misconduct,Euphemisms for Misconduct,"The notice does not explicitly state that the reason for the notice is due to misconduct, despite a journal, publisher, company, institution, government agency or author explicitly stating that there was misconduct.",article_general,notice_opacity,journal_publisher;company_institution;author;ori_government,post_publication_transparency_due_process_oversight,broad,False,"This reason describes a transparency failure in the notice itself, not a direct problem with the research content, authorship, or editorial process. It is a metadata/status signal about how misconduct is communicated, not a substantive category of manuscript unreliability.","The definition focuses on a notice that obscures misconduct despite explicit statements from involved parties. This directly relates to post-publication transparency and due process oversight, as it concerns the clarity and honesty of the retraction notice. It does not inherently indicate issues with research content, authorship, or editorial governance, so only the transparency category is assigned."
Euphemisms for Plagiarism,Euphemisms for Plagiarism,The notice describes plagiarism of material without using the words “plagiarize(d)” or “plagiarism.”,text_article;references_attribution,content_reuse_or_duplication_process,author,attribution_authorship_disclosure_integrity,strict,True,,"The definition explicitly describes plagiarism of material, which directly concerns attribution and authorship integrity. The notice signals content reuse without proper credit, fitting the attribution category."
False/Forged Affiliation,False/Forged Affiliation,The false/forged use of an affiliation/institutional name in the publication process.,authorship_affiliation,authorship_publication_process,author,attribution_authorship_disclosure_integrity,strict,True,,"The definition explicitly describes false/forged use of an affiliation, which directly concerns authorship and institutional disclosure integrity."
False/Forged Authorship,False/Forged Authorship,The false/forged use of one or more author names in the publication process.,authorship_affiliation,authorship_publication_process,author,attribution_authorship_disclosure_integrity,strict,True,,"The definition explicitly describes false/forged use of author names, directly mapping to authorship integrity concerns."
Falsification/Fabrication of Data,Falsification/Fabrication of Data,Falsification or fabrication of any data in order to mislead.,data,,author,research_content_reliability,strict,True,None,"The definition explicitly describes falsification or fabrication of data to mislead, directly undermining the trustworthiness of research content."
Falsification/Fabrication of Image,Falsification/Fabrication of Image,"Falsification or fabrication in/of one or more images, or part(s) of one or more images, in order to mislead.",image,,unclear,research_content_reliability,strict,True,,"The definition describes intentional manipulation of images to mislead, directly undermining the trustworthiness of research data and findings, which falls under research content reliability."
Falsification/Fabrication of Results,Falsification/Fabrication of Results,Falsification or fabrication of results in order to mislead.,results_conclusions;data;image,journal_publisher_investigation;institutional_investigation;third_party_investigation,author;journal_publisher;company_institution;third_party,research_content_reliability,strict,True,None,"Falsification/fabrication of results directly undermines the truth of reported findings, fitting research_content_reliability. The definition explicitly mentions misleading results, which maps to results_conclusions, data, and image as problem objects. Investigations by journals, institutions, or third parties are typical process signals. Actor context includes author, journal/publisher, institution, and third party as potential sources of investigation."
Hoax Paper,Hoax Paper,The paper was intentionally drafted with fabricated or falsified data or other content with the goal of testing a journal or publisher’s manuscript acceptance policies.,data;results_conclusions;text_article;article_general,editorial_breach;publication_policy_or_sanction,author,research_content_reliability;editorial_peer_review_governance,strict,True,,"The definition describes intentional fabrication/falsification of data or content to test journal policies, directly undermining research content reliability and exposing editorial/peer review governance failures."
Informed/Patient Consent - None/Withdrawn,Informed/Patient Consent – None/Withdrawn,When informed/patient consent documentation is deemed insufficient or is not available or the participant later disputes/withdraws their approval.,ethics_welfare,research_ethics_approval_process,author,attribution_authorship_disclosure_integrity;research_content_reliability,broad,True,None,Consent issues directly implicate ethics approval processes and can undermine the reliability of research content if participants' rights are violated or data usage is unauthorized.
Investigation by Company/Institution,Investigation by Company/Institution,An investigation by the company/institution listed as the affiliation of one or more authors.,article_general,institutional_investigation,company_institution,post_publication_transparency_due_process_oversight,broad,False,"The reason indicates an investigation by the affiliated institution, which is a due-process signal but does not specify the underlying problem or outcome. It is a procedural metadata tag, not a direct indicator of manuscript content issues.","The definition describes an investigation by the author's affiliated company/institution, which falls under post-publication oversight processes. It does not directly assert problems with research content, authorship, or editorial governance, so only the due-process category is assigned."
Investigation by Journal/Publisher,Investigation by Journal/Publisher,An investigation by the journal/publisher of the article.,article_general,journal_publisher_investigation,journal_publisher,post_publication_transparency_due_process_oversight,broad,False,"This reason indicates an investigation process by the journal/publisher, not the underlying cause. It is a procedural metadata signal and does not specify what content or conduct issue triggered the investigation. Therefore, it maps only to post-publication oversight and not to content or authorship categories without further evidence.","The definition describes a journal/publisher-led investigation, which is a post-publication oversight process. It does not inherently indicate problems with research content, authorship, or editorial governance, so only the post_publication_transparency_due_process_oversight category is assigned."
Investigation by ORI,Investigation by ORI,An investigation by the United States Office of Research Integrity (ORI).,article_general,official_misconduct_process,ori_government,post_publication_transparency_due_process_oversight,broad,False,"The reason indicates an investigation by ORI, which is a procedural oversight signal. It does not specify the underlying issue (e.g., data fabrication, plagiarism) and thus cannot be directly mapped to content reliability or authorship categories without further details. Main figure recommendation is false because the label is a status/process indicator, not a substantive content issue.","The definition describes an investigation by a government oversight body (ORI), which aligns with post-publication transparency and due process oversight. The actor is ORI (government), and the process is an official misconduct investigation. The problem object is set to article_general as the investigation scope is not specified."
